index,specification
439,asus intel core i5 11th gen windows 10 home 256 gb 8 15.6 11000000
440,msi intel core i9 11th gen windows 10 home 1 tb 16 gb 34000000
441,asus intel core i3 11th gen windows 10 home 256 gb 8 15.6 7000000
442,lenovo intel core i5 10th gen windows 11 home 512 gb 8 15.6 10000000
443,hp intel core i3 10th gen windows 10 512 gb 8 14.1 8000000
444,dell windows 10 1 tb 8 gb 15.6 11000000
445,infinix intel core i7 10th gen windows 11 home 512 gb 16 9000000
446,hp intel core i3 11th gen windows 11 home 256 gb 8 14 7000000
447,infinix intel core i3 10th gen windows 11 home 256 gb 8 14 5000000
448,infinix intel core i5 10th gen windows 11 home 512 gb 8 14 7000000
449,infinix intel core i3 10th gen windows 11 home 256 gb 8 14 5000000
450,infinix intel core i5 10th gen windows 11 home 512 gb 8 14 7000000
451,infinix intel core i3 10th gen windows 11 home 256 gb 8 14 5000000
452,asus amd ryzen 5 octa core 11th gen windows 10 home 512 gb 16 13.3 14000000
453,lenovo intel core i3 11th gen windows 11 home 512 gb 8 15.6 8000000
454,hp intel core i3 11th gen windows 10 home 8 gb 7000000
455,lenovo windows 11 home 512 gb 8 14 9000000
456,asus intel core i5 11th gen windows 10 home 256 gb 16 12000000
457,asus windows 10 home 512 gb 16 17000000
458,asus intel core i3 11th gen windows 11 home 256 gb 8 14.1 7000000
459,lenovo windows 11 home 512 gb 16 14 12000000
460,asus windows 10 home 256 gb 4 15.6 5000000
461,hp intel core i5 11th gen windows 11 home 512 gb 16 14 12000000
462,asus chrome 4 gb 3000000
463,lenovo windows 11 home 512 gb 8 15.6 11000000
464,lenovo intel core i3 11th gen windows 11 home 256 gb 8 15.6 7000000
465,asus intel core i3 11th gen windows 11 home 256 gb 4 6000000
466,avita intel core i5 10th gen windows 10 home 512 gb 8 14 8000000
467,dell intel core i3 11th gen windows 10 256 gb 8 15.6 8000000
468,dell intel core i3 11th gen windows 10 256 gb 4 14 8000000
469,dell intel core i5 11th gen windows 10 512 gb 16 13000000
470,dell windows 10 512 gb 8 9000000
471,msi intel core i3 10th gen windows 10 home 256 gb 8 14 6000000
472,asus intel core i3 11th gen windows 10 home 8 gb 15.6 6000000
473,msi intel core i3 10th gen windows 10 home 512 gb 8 14 8000000
474,msi intel core i7 10th gen windows 10 home 512 gb 8 14 11000000
475,msi intel core i5 11th gen windows 10 home 512 gb 16 14 14000000
476,asus intel core i5 11th gen windows 11 home 512 gb 16 15.6 16000000
477,asus intel core i3 10th gen windows 11 home 512 gb 4 15.6 6000000
478,asus intel core i7 10th gen windows 11 home 512 gb 16 15.6 11000000
479,asus intel core i3 10th gen windows 11 home 512 gb 8 15.6 7000000
480,asus intel core i7 10th gen windows 11 home 512 gb 16 15.6 11000000
481,asus intel core i3 10th gen windows 11 home 512 gb 8 15.6 7000000
482,dell intel core i5 11th gen windows 10 8 gb 15 11000000
483,lenovo windows 11 home 512 gb 8 15.6 14000000
484,hp intel core i3 11th gen windows 11 home 512 gb 8 15.6 8000000
485,asus intel core i3 11th gen windows 10 home 8 gb 15.6 6000000
486,dell intel core i3 11th gen windows 10 256 gb 8 15.6 9000000
487,asus windows 10 home 256 gb 8 14.1 6000000
488,asus amd ryzen 9 octa core 5th gen windows 10 home 1 tb 16 gb 14 26000000
489,dell intel core i3 11th gen windows 11 home 8 gb 15.6 7000000
490,acer intel core i5 11th gen windows 11 home 512 gb 8 14 11000000
491,hp windows 11 home 512 gb 16 14 11000000
492,lenovo intel core i7 10th gen windows 10 512 gb 16 12 32000000
493,hp intel core i5 11th gen windows 10 home 512 gb 8 15.6 12000000
494,hp windows 10 home 512 gb 8 14 10000000
495,asus amd ryzen 7 octa core 4th gen windows 10 home 1 tb 8 gb 14 15000000
496,lenovo windows 10 home 1 tb 16 gb 15.6 26000000
497,lenovo windows 11 home 512 gb 16 13.3 14000000
498,asus amd ryzen 7 octa core 4th gen windows 10 home 1 tb 8 gb 14 14000000
499,asus amd ryzen 7 octa core 5th gen windows 10 home 1 tb 8 gb 14 16000000
500,lenovo windows 10 home 256 gb 4 14 5000000
501,lenovo dos 4 gb 15.6 5000000
502,msi intel core i7 11th gen windows 10 home 1 tb 16 gb 22000000
503,dell intel core i3 10th gen windows 10 8 gb 15.6 7000000
504,msi intel core i5 11th gen windows 10 home 512 gb 16 13000000
505,lenovo windows 11 home 512 gb 16 13.3 14000000
506,lenovo intel core i3 11th gen windows 10 home 256 gb 4 15.6 8000000
507,apple mac os monterey 1 tb 16 gb 14.2 43000000
508,lenovo intel core i5 10th gen windows 10 home 8 gb 15.6 12000000
509,asus windows 10 home 512 gb 8 15.6 14000000
510,acer windows 10 home 256 gb 16 15.6 15000000
511,hp intel core i7 11th gen windows 10 home 1 tb 16 gb 13.5 24000000
512,hp intel core i3 11th gen windows 10 home 512 gb 8 14 11000000
513,hp windows 10 home 512 gb 16 14 11000000
514,lenovo intel core i3 10th gen windows 10 home 256 gb 8 15.6 8000000
515,asus amd ryzen 7 octa core 4th gen windows 10 512 gb 8 15.6 14000000
516,acer intel core i3 11th gen windows 10 home 256 gb 4 15.6 7000000
517,lenovo intel core i3 10th gen windows 10 home 256 gb 4 12 7000000
518,acer windows 10 home 256 gb 4 15.6 6000000
519,lenovo intel core i3 10th gen windows 10 home 256 gb 4 15.6 7000000
520,dell intel core i3 10th gen windows 10 256 gb 8 15.6 8000000
521,dell intel core i3 11th gen windows 10 home 8 gb 15.6 8000000
522,lenovo intel celeron dual core 4th gen chrome 4 gb 14 4000000
523,dell windows 10 512 gb 8 16000000
524,hp windows 10 home 1 tb 16 gb 16.1 26000000
525,asus intel core i5 11th gen windows 10 home 256 gb 8 15.6 10000000
526,dell intel core i5 11th gen windows 10 home 512 gb 16 15.6 13000000
527,dell intel core i7 11th gen windows 10 1 tb 16 gb 15.6 25000000
528,dell intel core i5 11th gen windows 10 256 gb 8 15.6 13000000
529,nokia intel core i5 11th gen windows 11 home 512 gb 8 14 8000000
530,nokia intel core i5 11th gen windows 11 home 512 gb 16 14 9000000
531,dell intel core i3 11th gen windows 10 256 gb 8 14 8000000
532,dell intel core i5 11th gen windows 10 512 gb 8 14 15000000
533,dell intel core i5 11th gen windows 10 512 gb 16 14 13000000
534,dell intel core i5 11th gen windows 10 512 gb 8 14 14000000
535,dell intel core i3 10th gen windows 10 8 gb 14.96 7000000
536,dell windows 10 512 gb 16 15000000
537,dell intel core i3 10th gen windows 10 256 gb 8 8000000
538,dell windows 10 256 gb 4 7000000
539,hp intel core i5 11th gen windows 10 home 512 gb 8 13.3 20000000
540,dell intel core i3 10th gen windows 10 256 gb 8 15.6 8000000
541,dell windows 10 256 gb 8 8000000
542,nokia intel core i5 10th gen windows 10 home 512 gb 8 14 7000000
543,hp intel core i5 11th gen windows 10 home 512 gb 16 14 15000000
544,dell intel core i5 11th gen windows 10 512 gb 8 14 11000000
545,dell intel core i7 11th gen windows 10 512 gb 16 15.6 20000000
546,dell intel core i5 11th gen windows 10 256 gb 8 14 9000000
547,dell intel core i5 11th gen windows 10 512 gb 16 14 15000000
548,dell intel core i3 11th gen windows 10 256 gb 8 15.6 9000000
549,hp intel core i5 11th gen windows 10 pro 512 gb 16 13.5 22000000
550,asus intel core i5 10th gen windows 10 home 8 gb 15.6 8000000
551,asus windows 10 home 1 tb 16 gb 13.4 25000000
552,asus windows 10 home 256 gb 8 15.6 11000000
553,asus intel core i3 11th gen windows 10 home 256 gb 8 15.6 8000000
554,asus windows 10 home 1 tb 32 gb 13.4 27000000
555,asus windows 10 home 1 tb 16 gb 15.6 22000000
556,asus intel core i7 11th gen windows 10 home 1 tb 16 gb 29000000
557,asus intel core i5 11th gen windows 10 home 256 gb 16 15.6 12000000
558,asus windows 10 home 1 tb 32 gb 13.4 29000000
559,asus intel core i7 11th gen windows 10 home 1 tb 16 gb 24000000
560,lenovo windows 10 home 512 gb 8 15.6 14000000
561,lenovo intel core i5 11th gen windows 10 home 512 gb 8 15.6 12000000
562,lenovo intel core i5 11th gen windows 10 home 512 gb 8 15.6 9000000
563,lenovo intel core i7 11th gen windows 11 home 1 tb 16 gb 30000000
564,lenovo intel celeron dual core 4th gen windows 11 home 256 gb 4 14 5000000
565,lenovo intel core i5 11th gen windows 11 home 512 gb 16 14 11000000
566,lenovo windows 10 home 512 gb 16 13.3 14000000
567,lenovo intel core i3 10th gen windows 11 home 256 gb 8 14 6000000
568,lenovo windows 10 home 256 gb 8 15.6 11000000
569,lenovo intel core i3 10th gen windows 10 home 256 gb 8 15.6 7000000
570,lenovo intel core i5 11th gen windows 11 home 512 gb 16 15.6 18000000
571,hp amd ryzen 3 hexa core 4th gen windows 10 512 gb 8 15.6 12000000
572,asus intel core i5 11th gen windows 10 home 512 gb 8 15.6 10000000
573,hp windows 10 home 512 gb 8 14 11000000
574,hp intel core i5 11th gen windows 10 home 512 gb 8 15.6 14000000
575,lenovo intel core i7 11th gen windows 10 home 512 gb 16 14 16000000
576,lenovo intel core i5 11th gen windows 10 home 512 gb 8 13 10000000
577,lenovo intel core i5 11th gen windows 10 home 512 gb 16 13 11000000
578,lenovo intel core i3 11th gen windows 10 home 256 gb 4 15 7000000
579,lenovo dos 512 gb 8 14 10000000
580,lenovo intel core i5 11th gen windows 10 home 1 tb 8 gb 13.3 11000000
581,lenovo intel core i7 11th gen windows 10 home 1 tb 16 gb 13 16000000
582,hp intel core i7 11th gen windows 10 home 512 gb 16 18000000
583,lenovo intel core i5 11th gen windows 10 home 512 gb 8 14 10000000
584,redmibook intel core i3 11th gen windows 10 512 gb 8 8000000
585,lenovo intel core i3 10th gen windows 10 256 gb 8 15.6 8000000
586,lenovo windows 10 home 4 gb 15.6 6000000
587,acer windows 10 home 256 gb 4 15.6 6000000
588,hp windows 10 home 256 gb 8 15.6 6000000
589,hp windows 10 home 512 gb 16 14 15000000
590,hp windows 10 home 512 gb 16 14 12000000
591,hp intel core i7 11th gen windows 10 home 1 tb 16 gb 13.3 17000000
592,lenovo intel core i7 11th gen windows 10 home 512 gb 16 15.6 22000000
593,lenovo intel core i5 11th gen windows 10 home 512 gb 8 15.6 12000000
594,lenovo intel core i5 11th gen windows 10 home 512 gb 16 13000000
595,lenovo intel core i5 10th gen windows 10 home 512 gb 8 10000000
596,lenovo chrome 4 gb 11.6 5000000
597,lenovo intel core i5 10th gen windows 10 home 512 gb 8 8000000
598,acer intel core i7 11th gen windows 10 home 512 gb 16 15.6 18000000
599,asus intel core i3 11th gen windows 10 home 256 gb 4 15.6 6000000
600,acer intel core i7 11th gen windows 10 home 512 gb 16 15.6 18000000
601,asus intel core i3 11th gen windows 10 home 256 gb 4 15.6 6000000
602,asus intel core i5 11th gen windows 10 home 512 gb 8 14 13000000
603,asus intel core i5 11th gen windows 10 home 256 gb 8 15.6 9000000
604,asus amd ryzen 3 dual core 3rd gen windows 10 home 256 gb 8 15.6 6000000
605,acer intel core i5 11th gen windows 10 home 8 gb 14 8000000
606,acer windows 10 home 512 gb 8 15.6 8000000
607,acer intel core i5 11th gen windows 11 home 512 gb 8 15.6 10000000
608,acer intel core i5 11th gen windows 10 home 256 gb 8 15.6 10000000
609,acer intel core i5 11th gen windows 11 home 256 gb 8 15.6 10000000
610,asus windows 10 home 1 tb 8 gb 15.6 17000000
611,asus amd ryzen 7 octa core 4th gen windows 10 home 512 gb 8 15.6 14000000
612,acer intel core i5 11th gen windows 10 home 256 gb 16 14 11000000
613,dell intel core i3 11th gen windows 10 256 gb 8 13000000
614,asus intel core i3 10th gen windows 10 home 4 gb 14 6000000
615,lenovo intel core i3 10th gen windows 11 home 256 gb 8 6000000
616,lenovo chrome 4 gb 3000000
617,asus amd ryzen 9 octa core 5th gen windows 10 home 1 tb 16 gb 15.6 24000000
618,msi intel core i5 10th gen windows 10 home 512 gb 8 14 8000000
619,msi intel core i3 11th gen windows 10 home 512 gb 8 14 8000000
620,msi intel core i7 11th gen windows 10 home 512 gb 8 14 11000000
621,msi intel core i7 11th gen windows 10 home 512 gb 8 14 15000000
622,msi intel core i5 11th gen windows 10 home 512 gb 8 14 8000000
623,asus intel core i5 11th gen windows 10 home 1 tb 8 gb 15.6 14000000
624,asus intel core i5 11th gen windows 10 home 512 gb 8 17.3 13000000
625,asus intel core i7 11th gen windows 10 home 1 tb 16 gb 15.6 19000000
626,asus intel core i5 10th gen windows 10 home 256 gb 8 15.6 12000000
627,asus intel core i5 9th gen windows 10 home 256 gb 8 15.6 11000000
628,asus intel core i7 10th gen windows 10 home 512 gb 8 15.6 12000000
629,asus windows 10 home 1 tb 8 gb 14 14000000
630,asus intel core i7 10th gen windows 10 home 256 gb 16 15.6 13000000
631,asus intel core i7 11th gen windows 10 home 512 gb 16 17.3 18000000
632,asus windows 10 home 512 gb 16 17.3 15000000
633,asus windows 10 home 1 tb 16 gb 15.6 26000000
634,asus intel core i7 10th gen windows 10 home 512 gb 16 15.6 12000000
635,asus windows 10 home 512 gb 8 15.6 9000000
636,lenovo intel core i3 11th gen windows 10 home 512 gb 8 15.6 9000000
637,lenovo intel core i5 11th gen windows 10 home 512 gb 16 14 15000000
638,lenovo intel core i5 11th gen windows 10 home 512 gb 16 14 13000000
639,asus intel core i3 11th gen windows 10 home 8 gb 15.6 7000000
640,asus windows 10 home 512 gb 8 15.6 9000000
641,asus amd ryzen 9 octa core 5th gen windows 10 home 1 tb 16 gb 15.6 22000000
642,msi intel core i5 10th gen windows 10 home 512 gb 8 15.6 13000000
643,msi intel core i7 10th gen windows 10 home 1 tb 16 gb 15.6 15000000
644,hp windows 10 home 512 gb 8 10000000
645,hp windows 10 home 512 gb 16 13000000
646,msi intel core i7 11th gen windows 10 home 1 tb 16 gb 16000000
647,msi intel core i7 10th gen windows 10 home 512 gb 16 15.6 15000000
648,hp intel core i5 11th gen windows 10 home 1 tb 16 gb 14 18000000
649,msi windows 10 home 1 tb 16 gb 15.6 18000000
650,asus intel core i3 10th gen windows 10 home 4 gb 15.6 5000000
651,asus intel core i3 10th gen windows 10 home 8 gb 14 6000000
652,acer intel core i7 11th gen windows 10 home 512 gb 16 15.6 21000000
653,asus intel core i5 11th gen windows 10 home 1 tb 8 gb 17.3 15000000
654,hp windows 10 home 1 tb 16 gb 13.3 17000000
655,asus intel core i3 11th gen windows 10 home 256 gb 8 15.6 7000000
656,asus intel core i5 11th gen windows 10 home 512 gb 8 15.6 10000000
657,asus intel core i7 11th gen windows 10 home 1 tb 16 gb 14 22000000
658,lenovo windows 10 home 512 gb 8 15.6 10000000
659,lenovo intel core i5 10th gen windows 10 home 8 gb 12000000
660,lenovo intel core i7 11th gen windows 10 home 512 gb 8 15.6 16000000
661,msi intel core i7 11th gen windows 10 home 1 tb 16 gb 15.6 39000000
662,asus windows 10 home 1 tb 16 gb 15.6 28000000
663,asus windows 10 home 512 gb 8 15.6 15000000
664,realme intel core i5 11th gen windows 10 home 512 gb 8 14 10000000
665,realme intel core i3 11th gen windows 10 home 256 gb 8 14 8000000
666,asus windows 10 home 512 gb 8 15.6 14000000
667,realme intel core i5 11th gen windows 10 home 512 gb 8 14 10000000
668,hp intel core i7 11th gen windows 10 home 512 gb 16 16000000
669,asus intel core i5 11th gen windows 10 home 512 gb 16 15.6 16000000
670,asus intel core i5 11th gen windows 10 home 512 gb 16 14 12000000
671,hp windows 10 home 512 gb 16 13.3 12000000
672,hp intel core i5 11th gen windows 10 home 512 gb 16 13.3 14000000
673,dell intel core i3 11th gen windows 10 home 8 gb 15.6 8000000
674,asus intel core i3 10th gen windows 10 home 4 gb 14.1 6000000
675,msi intel core i7 11th gen windows 10 home 512 gb 16 20000000
676,msi intel core i7 11th gen windows 10 home 1 tb 16 gb 34000000
677,acer intel core i7 11th gen windows 10 home 1 tb 16 gb 24000000
678,asus windows 10 home 1 tb 16 gb 15.6 29000000
679,hp windows 10 512 gb 8 15.6 11000000
680,asus windows 10 home 512 gb 8 15.6 13000000
681,asus intel core i5 11th gen windows 10 home 256 gb 8 15.6 12000000
682,lenovo intel core i3 10th gen windows 10 home 256 gb 8 14 7000000
683,redmibook intel core i5 11th gen windows 10 home 512 gb 8 15.6 9000000
684,redmibook intel core i3 11th gen windows 10 home 256 gb 8 15.6 7000000
685,msi windows 10 home 512 gb 8 14 8000000
686,hp intel core i5 11th gen windows 10 home 256 gb 8 12000000
687,asus windows 10 home 1 tb 16 gb 13.3 16000000
688,dell intel core i3 11th gen windows 10 256 gb 8 7000000
689,acer windows 10 home 512 gb 8 15.6 9000000
690,acer windows 10 home 512 gb 8 14 10000000
691,asus windows 10 home 512 gb 16 13.3 14000000
692,dell intel core i5 11th gen windows 10 256 gb 8 13000000
693,dell intel core i3 11th gen windows 10 8 gb 8000000
694,dell intel core i5 11th gen windows 10 512 gb 8 10000000
695,lenovo intel core i5 11th gen windows 10 home 512 gb 8 15.6 11000000
696,dell intel core i3 11th gen windows 10 home 256 gb 4 14 6000000
697,hp windows 10 home 512 gb 16 12000000
698,hp windows 10 home 512 gb 8 15.6 7000000
699,msi windows 10 home 512 gb 8 15.6 13000000
700,asus intel core i5 11th gen windows 10 home 256 gb 8 15.6 12000000
701,lenovo intel core i5 11th gen windows 10 home 256 gb 8 15.6 10000000
702,asus intel core i3 11th gen windows 10 256 gb 4 15.6 7000000
703,lenovo intel core i7 10th gen windows 10 home 512 gb 8 14000000
704,asus intel core i3 10th gen windows 10 home 512 gb 8 15.6 8000000
705,asus intel core i3 10th gen windows 10 home 512 gb 4 15.6 7000000
706,asus intel core i5 10th gen windows 10 home 512 gb 8 15.6 9000000
707,asus intel core i5 10th gen windows 10 home 512 gb 8 15.6 9000000
708,hp windows 10 home 256 gb 8 14 10000000
709,dell intel core i3 10th gen windows 10 512 gb 8 7000000
710,lenovo intel core i5 11th gen windows 10 512 gb 4 14 11000000
711,lenovo intel core i3 10th gen windows 10 home 8 gb 15.6 7000000
712,msi intel core i7 11th gen windows 10 home 1 tb 16 gb 21000000
713,lenovo intel core i3 10th gen windows 10 home 256 gb 4 15.6 7000000
714,lenovo intel core i3 10th gen windows 10 home 8 gb 15.6 6000000
715,lenovo intel core i3 11th gen windows 10 home 256 gb 8 15.6 7000000
716,avita windows 10 home 128 gb 4 4000000
717,asus windows 10 home 1 tb 16 gb 27000000
718,acer intel core i3 11th gen windows 10 home 256 gb 8 8000000
719,acer intel core i5 11th gen windows 10 home 256 gb 8 10000000
720,hp intel core i5 10th gen windows 10 home 512 gb 8 10000000
721,lenovo intel core i5 11th gen windows 10 home 512 gb 16 17000000
722,hp chrome 4 gb 11.6 3000000
723,lenovo intel core i5 11th gen windows 10 home 512 gb 8 10000000
724,apple mac os big sur 512 gb 8 13.3 19000000
725,apple mac os big sur 1 tb 8 gb 13.3 28000000
726,apple mac os big sur 512 gb 8 13.3 19000000
727,lenovo dos 4 gb 14 4000000
728,hp windows 10 home 1 tb 16 gb 15.6 20000000
729,asus chrome 4 gb 11.6 4000000
730,asus chrome 4 gb 11.6 3000000
731,asus chrome 4 gb 15.6 3000000
732,hp windows 10 home 1 tb 16 gb 15.6 30000000
733,asus chrome 4 gb 14 4000000
734,asus chrome 4 gb 14 3000000
735,asus windows 10 home 1 tb 32 gb 45000000
736,asus chrome 4 gb 15.6 4000000
737,hp windows 10 home 512 gb 16 16000000
738,asus windows 10 home 4 gb 11.6 4000000
739,lenovo windows 10 home 512 gb 8 15.6 14000000
740,asus windows 10 home 1 tb 8 gb 14.1 13000000
741,lenovo windows 10 4 gb 14 5000000
742,lenovo intel core i5 11th gen windows 10 home 512 gb 8 9000000
743,lenovo intel core i5 10th gen windows 10 home 512 gb 8 12000000
744,acer windows 10 home 256 gb 8 13000000
745,dell intel core i5 11th gen windows 10 512 gb 16 13000000
746,dell windows 10 512 gb 8 14 11000000
747,asus windows 10 home 1 tb 16 gb 19000000
748,asus windows 10 home 512 gb 8 14 11000000
749,lenovo windows 10 4 gb 5000000
750,hp intel core i3 10th gen windows 10 home 512 gb 8 15.6 8000000
751,dell intel core i5 11th gen windows 10 512 gb 16 16000000
752,asus intel core i5 10th gen windows 10 home 256 gb 8 15.6 10000000
753,dell intel core i5 11th gen windows 10 512 gb 16 13000000
754,dell windows 10 512 gb 8 11000000
755,dell intel core i5 11th gen windows 10 512 gb 16 13000000
756,dell intel core i5 11th gen windows 10 home 512 gb 16 15.6 13000000
757,dell intel core i5 11th gen windows 10 512 gb 16 16000000
758,dell intel core i7 11th gen windows 10 1 tb 16 gb 34000000
759,asus windows 10 home 512 gb 16 14000000
760,hp windows 10 home 512 gb 8 15.6 12000000
761,dell intel core i5 11th gen windows 10 512 gb 16 15000000
762,dell intel core i5 11th gen windows 10 512 gb 8 13000000
763,asus intel core i7 11th gen windows 10 home 1 tb 8 gb 20000000
764,msi intel core i5 10th gen windows 10 home 8 gb 15.6 10000000
765,dell intel core i5 10th gen windows 10 512 gb 16 14000000
766,dell intel core i5 10th gen windows 10 512 gb 16 14000000
767,asus windows 10 home 1 tb 16 gb 20000000
768,asus intel core i5 11th gen windows 10 home 1 tb 8 gb 15000000
769,dell intel core i5 10th gen windows 10 512 gb 8 12000000
770,msi intel core i7 11th gen windows 10 home 1 tb 16 gb 15.6 24000000
771,hp intel core i3 10th gen windows 10 home 8 gb 7000000
772,lenovo intel core i5 11th gen windows 10 home 256 gb 8 15.6 11000000
773,lenovo intel core i5 11th gen windows 10 home 512 gb 16 12000000
774,dell intel core i3 10th gen windows 10 home 256 gb 4 14 7000000
775,hp windows 10 home 512 gb 8 15.6 11000000
776,dell windows 10 512 gb 8 13000000
777,dell intel core i5 11th gen windows 10 512 gb 8 15000000
778,lenovo intel core i3 11th gen windows 10 home 256 gb 8 9000000
779,lenovo intel core i5 11th gen windows 10 home 512 gb 16 11000000
780,msi intel hexa core i5 10th gen windows 10 home 512 gb 16 15.6 13000000
781,msi intel hexa core i5 10th gen windows 10 home 256 gb 8 15.6 10000000
782,dell intel core i5 10th gen windows 10 512 gb 8 15.6 12000000
783,dell intel core i5 10th gen windows 10 512 gb 8 15.6 13000000
784,lenovo intel core i5 11th gen windows 10 home 512 gb 8 10000000
785,lenovo intel core i3 11th gen windows 10 home 256 gb 8 8000000
786,asus windows 10 home 512 gb 8 14 11000000
787,lenovo windows 10 home 512 gb 8 11000000
788,hp windows 10 home 256 gb 16 15.6 14000000
789,asus intel core i5 11th gen windows 10 home 512 gb 16 17000000
790,asus windows 10 home 512 gb 8 14 11000000
791,lenovo intel core i5 11th gen windows 10 home 512 gb 8 15.6 11000000
792,lenovo intel core i5 10th gen windows 10 pro 512 gb 16 29000000
793,lenovo intel core i5 11th gen windows 10 home 512 gb 16 15000000
794,lenovo intel core i7 11th gen windows 10 home 1 tb 16 gb 14 18000000
795,lenovo intel core i5 11th gen windows 10 home 256 gb 8 15.6 9000000
796,asus amd ryzen 7 octa core 5th gen windows 10 home 1 tb 8 gb 14 21000000
797,lenovo intel core i5 11th gen windows 10 home 512 gb 8 16000000
798,lenovo intel core i5 11th gen windows 10 home 512 gb 8 12000000
799,hp intel core i3 11th gen windows 10 512 gb 8 15.6 8000000
800,lenovo intel core i5 10th gen windows 10 home 512 gb 8 15.6 10000000
801,lenovo intel core i5 9th gen windows 10 home 256 gb 8 15.6 13000000
802,asus intel core i7 11th gen windows 10 home 512 gb 8 14 14000000
803,lenovo intel core i5 11th gen windows 10 home 512 gb 8 12000000
804,lenovo intel core i5 11th gen windows 10 home 512 gb 16 14000000
805,lenovo intel core i5 10th gen windows 10 pro 512 gb 8 23000000
806,asus windows 10 home 256 gb 8 17.3 11000000
807,asus intel core i7 11th gen windows 10 home 1 tb 16 gb 13.3 19000000
808,lenovo windows 10 home 4 gb 5000000
809,lenovo windows 10 home 4 gb 5000000
810,dell intel core i5 11th gen windows 10 512 gb 16 21000000
811,asus intel core i3 11th gen windows 10 home 256 gb 4 14 6000000
812,dell intel core i5 11th gen windows 10 256 gb 8 11000000
813,dell intel core i3 10th gen windows 10 home 256 gb 4 14 6000000
814,lenovo intel core i5 10th gen windows 10 home 256 gb 8 15.6 13000000
815,lenovo windows 10 home 256 gb 8 15.6 12000000
816,lenovo intel core i5 11th gen windows 10 home 512 gb 8 14 10000000
817,lenovo windows 10 home 512 gb 16 15.6 12000000
818,lenovo dos 4 gb 15.6 5000000
819,asus intel core i5 10th gen windows 10 home 512 gb 8 12000000
820,dell intel core i3 11th gen windows 10 256 gb 4 14 8000000
821,acer intel core i5 10th gen windows 10 home 512 gb 8 15.6 10000000
822,asus intel octa core i7 10th gen windows 10 home 1 tb 16 gb 15.6 17000000
823,asus amd ryzen 5 hexa core 4th gen windows 10 512 gb 8 14 16000000
824,asus windows 10 home 512 gb 8 14 12000000
825,msi intel hexa core i5 10th gen windows 10 home 512 gb 16 15.6 14000000
826,asus amd ryzen 5 hexa core 5th gen windows 10 home 512 gb 8 14 14000000
827,dell intel core i5 11th gen windows 10 512 gb 8 12000000
828,dell intel core i5 11th gen windows 10 512 gb 8 13000000
829,dell intel core i5 11th gen windows 10 256 gb 8 15.6 12000000
830,dell intel core i5 11th gen windows 10 256 gb 4 10000000
831,asus intel core i5 11th gen windows 10 home 512 gb 16 15.6 16000000
832,dell intel core i3 10th gen windows 10 256 gb 8 15.6 7000000
833,dell intel core i3 11th gen windows 10 8 gb 15.6 8000000
834,hp intel core i3 11th gen windows 10 home 256 gb 8 14 8000000
835,lenovo intel core i7 11th gen windows 10 home 512 gb 16 14 19000000
836,lenovo intel core i7 11th gen windows 10 home 1 tb 16 gb 13.3 20000000
837,dell intel core i5 10th gen windows 10 512 gb 8 13.3 18000000
838,dell intel core i3 11th gen windows 10 home 8 gb 15.6 8000000
839,msi intel core i7 10th gen windows 10 home 256 gb 8 15.6 12000000
840,hp intel core i3 11th gen windows 10 home 256 gb 8 14 7000000
841,acer windows 10 home 256 gb 16 15.6 18000000
842,asus intel core i7 11th gen windows 10 home 1 tb 16 gb 14 26000000
843,asus intel core i5 10th gen windows 10 home 1 tb 8 gb 15.6 14000000
844,dell intel core i3 11th gen windows 10 512 gb 8 12000000
845,msi intel core i5 11th gen windows 10 home 512 gb 16 14 15000000
846,hp windows 10 home 512 gb 8 15.6 9000000
847,asus windows 10 home 1 tb 16 gb 13.4 19000000
848,msi intel core i7 11th gen windows 10 home 512 gb 8 14 13000000
849,asus windows 10 home 1 tb 16 gb 13.4 22000000
850,asus windows 10 home 1 tb 32 gb 13.4 24000000
851,lenovo intel core i5 11th gen windows 10 home 512 gb 8 15.6 12000000
852,dell intel core i5 11th gen windows 10 home 512 gb 8 15.6 14000000
853,asus intel core i5 11th gen windows 10 home 512 gb 8 13.3 15000000
854,asus intel core i3 10th gen windows 10 home 4 gb 15.6 6000000
855,asus intel core i5 10th gen windows 10 home 512 gb 8 11000000
856,asus intel core i5 9th gen windows 10 home 512 gb 8 15.6 10000000
857,asus intel core i5 11th gen windows 10 home 512 gb 16 15.6 16000000
858,msi intel core i7 10th gen windows 10 home 256 gb 16 15.6 25000000
859,asus windows 10 home 256 gb 4 15.6 6000000
860,hp intel core i5 11th gen windows 10 home 512 gb 8 14 11000000
861,acer intel core i5 11th gen windows 10 home 512 gb 8 15.6 10000000
862,dell windows 10 8 gb 15.6 7000000
863,acer windows 10 home 256 gb 8 15.6 11000000
864,dell intel core i3 11th gen windows 10 8 gb 14 7000000
865,hp windows 10 home 512 gb 8 9000000
866,dell intel core i5 11th gen windows 10 512 gb 8 14 10000000
867,hp intel core i5 11th gen windows 10 home 512 gb 8 15.6 11000000
868,acer windows 10 home 512 gb 8 15.6 11000000
869,acer windows 10 home 512 gb 8 15.6 9000000
870,acer intel core i7 8th gen windows 10 home 8 gb 14 8000000
871,asus intel core i5 11th gen windows 10 home 512 gb 16 14 21000000
872,hp windows 10 home 512 gb 8 15.6 10000000
873,hp intel core i5 11th gen windows 10 home 512 gb 8 14 12000000
